Sample in Buffer,Sample in Window,TRIGGER,design_1_i/design_1_i/usp_rf_data_converter_0_m00_axis_tdata_1[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
818,818,0,-731564661622377008
819,819,0,-741697674883041780
820,820,0,-679772303823407552
821,821,0,-682024258254342556
822,822,0,-677520641445529964
823,823,0,-655002419971950924
824,824,0,-661757630428678468
825,825,0,-462470649636128412
826,826,0,-450085544499021456
827,827,0,-439952136098481748
828,828,0,-427567030959801900
829,829,0,-419685456728229380
830,830,0,-397167132175697296
831,831,0,-115688118126051772
832,832,0,-90917942214721948
833,833,0,-79658633902883124
834,834,0,-59392366862336288
835,835,0,-43629390201553076
836,836,0,248827538784912220
837,837,0,273597852131525484
838,838,0,289360450832040928
839,839,0,294990362685735932
840,840,0,320886438506267732
841,841,0,556202989425788860
842,842,0,577595482795935740
843,843,0,579847574666872848
844,844,0,593358287655929836
845,845,0,610246906519750752
846,846,0,613624932658841740
847,847,0,729594358256110076
848,848,0,732972075157031432
849,849,0,718335118670563856
850,850,0,735223754713205304
851,851,0,729594392616372708
852,852,0,696942676835830180
853,853,0,674424609976879504
854,854,0,669920838548195720
855,855,0,657535630332135804
856,856,0,651905907459623224
857,857,0,465003894364964520
858,858,0,455996626386028148
859,859,0,431226347392075304
860,860,0,426722885203658256
861,861,0,413211708358133220
862,862,0,399700651774838232
863,863,0,102458832875946460
864,864,0,84444056405672304
865,865,0,70933016999100756
866,866,0,59673708691980556
867,867,0,34903738939605156
868,868,0,-262057030195544912
869,869,0,-274442410206364548
870,870,0,-293582639909503956
871,871,0,-307093851112145948
872,872,0,-318352953261360248
873,873,0,-563802912581158840
874,874,0,-582943296898926560
875,875,0,-588572882334058516
876,876,0,-598706410996041764
877,877,0,-604335721552742460
878,878,0,-618972798305110124
879,879,0,-724809244998306344
880,880,0,-733816152195271148
881,881,0,-732690406907251208
882,882,0,-736068072269613596
883,883,0,-728186979081718324
884,884,0,-673017351061047700
885,885,0,-660632228742760832
886,886,0,-670765053027486032
887,887,0,-665135587848816948
888,888,0,-661757785046452508
889,889,0,-464722483809027768
890,890,0,-450085596040463972
891,891,0,-437700336284534324
892,892,0,-425315248327296528
893,893,0,-408426629459805604
894,894,0,-412929868309136792
895,895,0,-123569383114736068
896,896,0,-93169707668144508
897,897,0,-70651537731027308
898,898,0,-61643960514445556
899,899,0,-41377315510485212
900,900,0,248827504425173892
901,901,0,272471849145729972
902,902,0,293864497134175228
903,903,0,301745762127315988
904,904,0,320886094907311168
905,905,0,564084460571330476
906,906,0,591106075520665604
907,907,0,588854567764756464
908,908,0,602365504090015784
909,909,0,597862041903695952
910,910,0,622632080373975176
911,911,0,728468320910838292
912,912,0,721712835570436608
913,913,0,721712990188735012
914,914,0,735223892153207352
915,915,0,745357094392433168
916,916,0,696942487855172044
917,917,0,685683402888448376
918,918,0,676676186450168136
919,919,0,655283864881858864
920,920,0,658661444341729628
921,921,0,455996695103407796
922,922,0,455996523305502284
923,923,0,428974685017343556
924,924,0,419967382680503800
925,925,0,408708040011285996
926,926,0,395197138044716452
